"Set"	"N"	"Sim"	"HR"	"MAP"	"SV"	"CVP"	"SAP"	"DAP"	"Grav"	"CO"	"PP"
"1"	3	92	66.012162	99.660982	83.395198	7.162724	122.321956	75.079797	"1"	5.50509732039808	47.242159
"1"	3	93	65.533425	99.889867	85.974633	7.354095	121.496017	76.812369	"1"	5.63421216360802	44.683648
"1"	3	94	64.668662	100.733544	92.995087	7.743426	121.96065	77.270034	"1"	6.01386784886359	44.690616
"1"	3	95	66.194696	99.572683	82.530009	7.005887	123.597729	73.57793	"1"	5.46304885663226	50.019799
"1"	3	96	65.624539	99.787428	85.123834	6.651841	121.301625	77.033973	"1"	5.58621236416253	44.267652
"1"	3	97	66.210748	99.487814	82.766223	6.962214	122.162768	74.867824	"1"	5.4800135339648	47.294944
"1"	3	98	65.650827	100.117006	85.603877	7.283308	124.109599	74.347611	"1"	5.61996531945628	49.761988
"1"	3	99	65.470779	100.27103	85.933893	7.140919	124.947072	74.244359	"1"	5.62615891721265	50.702713
"1"	3	100	65.960947	99.725846	83.785223	6.846727	122.788892	74.925317	"1"	5.52655265368618	47.863575
"2"	1	1	65.09188	100.24268	86.885418	7.226623	123.911671	74.834683	"1"	5.65553520220584	49.076988
"2"	1	2	64.731314	100.572991	85.020978	7.053477	123.742152	75.633939	"1"	5.50351962350509	48.108213
"2"	1	3	66.265876	100.06872	85.314652	7.160779	123.242279	75.080916	"1"	5.65345015041515	48.161363
"2"	1	4	65.257572	99.690831	86.2562	7.178218	123.14291	74.45165	"1"	5.6288701819464	48.69126
"2"	1	5	65.716764	100.049363	85.449033	7.137917	123.283042	75.02254	"1"	5.61543393568921	48.260502
"2"	1	6	66.01002	100.451539	84.279418	7.077274	123.38374	75.731439	"1"	5.56328606776836	47.652301
"2"	1	7	65.28102	100.255358	85.048	7.068669	123.397637	75.326232	"1"	5.55202018896	48.071405
"2"	1	8	66.378924	100.110375	85.737953	7.182015	123.391211	75.01584	"1"	5.69119306610257	48.375371
"2"	1	9	65.218736	99.260511	86.83815	7.204754	122.85119	73.865524	"1"	5.6634743795784	48.985666
"2"	1	10	65.128553	99.703851	87.354757	7.247813	123.462	74.177807	"1"	5.68928892107662	49.284193
"2"	1	11	65.084744	101.125084	85.398199	7.132648	124.42571	76.091999	"1"	5.55811991997606	48.333711
"2"	1	12	65.776609	100.01099	86.682266	7.252402	123.566877	74.659837	"1"	5.70166551791599	48.90704
"2"	1	13	66.218637	100.263027	85.175696	7.134048	123.418878	75.312424	"1"	5.64021849464635	48.106454
"2"	1	14	66.449468	99.807538	85.676447	7.176254	123.059239	74.732365	"1"	5.6931543232802	48.326874
"2"	1	15	64.645049	99.860815	86.036637	7.133234	123.264668	74.667553	"1"	5.56184261466021	48.597115
"2"	1	16	66.247761	100.382423	84.241605	7.096101	123.265421	75.665836	"1"	5.5808177142964	47.599585
"2"	1	17	67.286528	99.687285	84.906499	7.188075	122.716918	74.818134	"1"	5.71306352234547	47.898784
"2"	1	18	65.470357	99.929753	86.441837	7.196545	123.41271	74.640046	"1"	5.65937792812581	48.772664
"2"	1	19	66.083008	100.081027	85.792375	7.176017	123.39325	74.963127	"1"	5.669418203464	48.430123
"2"	1	20	66.141362	99.686973	84.704373	7.07681	122.696764	74.862688	"1"	5.60246259757603	47.834076
"2"	1	21	66.111722	100.104256	86.196947	7.212042	123.508872	74.889026	"1"	5.69862859731273	48.619846
"2"	1	22	66.419201	99.268656	84.715179	7.081609	122.243677	74.440853	"1"	5.62671450175198	47.802824
"2"	1	23	65.337255	100.254937	85.65381	7.143389	123.573271	75.158834	"1"	5.59638482569155	48.414437
"2"	1	24	66.413459	100.060557	84.569827	7.112461	123.051622	75.263552	"1"	5.61657473810159	47.78807
"2"	1	25	65.975121	99.575958	84.876212	7.098262	122.660787	74.692231	"1"	5.59971835672165	47.968556
"2"	1	26	64.903192	100.335391	83.880218	6.997447	123.197046	75.689091	"1"	5.44409389385586	47.507955
"2"	1	27	65.468165	100.371985	85.934001	7.165202	123.769414	75.194826	"1"	5.62594135657816	48.574588
"2"	1	28	67.128098	99.869769	84.390008	7.117264	122.76123	75.122061	"1"	5.66494072724478	47.639169
"2"	1	29	66.806251	99.718424	85.473243	7.189928	122.912424	74.683684	"1"	5.71014692564199	48.22874
"2"	1	30	64.678752	100.099447	86.499998	7.156484	123.665802	74.779347	"1"	5.5947119186425	48.886455
"2"	1	31	65.906316	99.819523	85.338617	7.142477	123.019621	74.810652	"1"	5.62435385900497	48.208969
"2"	1	32	64.723257	99.913544	86.820484	7.199725	123.555156	74.5008	"1"	5.61930449879639	49.054356
"2"	1	33	64.694451	100.223689	86.129244	7.155183	123.698123	74.99766	"1"	5.57208415562504	48.700463
"2"	1	34	66.002381	99.907194	85.654465	7.155646	123.198126	74.820413	"1"	5.65339863328117	48.377713
"2"	1	35	67.428787	100.421799	83.812816	7.098579	123.187027	75.821022	"1"	5.65139651793419	47.366005
"2"	1	36	66.344045	99.605354	85.266229	7.147566	122.766644	74.624728	"1"	5.6569065337563	48.141916
"2"	1	37	66.292803	99.413994	85.860338	7.203236	122.736657	74.28396	"1"	5.69192247254741	48.452697
"2"	1	38	66.039961	99.817978	84.604092	7.078018	122.817604	75.004025	"1"	5.58725093612041	47.813579
"2"	1	39	66.0614	99.871278	84.568157	7.09864	122.876288	75.064671	"1"	5.5866908468398	47.811617
"2"	1	40	66.743473	99.733462	85.627305	7.20998	122.991615	74.656635	"1"	5.71506371933026	48.33498
"2"	1	41	65.594516	99.703936	85.631136	7.145593	122.992193	74.622036	"1"	5.61693292045018	48.370157
"2"	1	42	66.33527	99.646695	85.664295	7.173491	122.924685	74.570727	"1"	5.68256413818465	48.353958
"2"	1	43	64.984808	100.034055	86.505819	7.18931	123.596304	74.711006	"1"	5.62156403859775	48.885298
"2"	1	44	65.520836	99.850732	87.15105	7.251694	123.561559	74.375064	"1"	5.7102096542778	49.186495
"2"	1	45	65.213804	100.316115	84.489904	7.054254	123.345427	75.515409	"1"	5.50990803943482	47.830018
"2"	1	46	66.962351	99.70668	84.240174	7.096811	122.585783	75.000971	"1"	5.64092009968907	47.584812
"2"	1	47	64.836448	100.753012	86.584243	7.214732	124.366521	75.404153	"1"	5.61381476888887	48.962368
"2"	1	48	64.839548	100.597669	85.869327	7.141755	124.014146	75.434261	"1"	5.5677283497442	48.579885
"2"	1	49	66.455401	100.696313	85.211741	7.179611	123.894657	75.722386	"1"	5.66278041806314	48.172271
"2"	1	50	65.226969	100.356523	85.224588	7.108917	123.5547	75.367455	"1"	5.55894155951377	48.187245
"2"	1	51	66.258289	99.726468	85.148231	7.155341	122.874308	74.77293	"1"	5.64177609743676	48.101378
"2"	1	52	66.650031	100.257217	84.373822	7.130855	123.202909	75.505091	"1"	5.62351785188848	47.697818
"2"	1	53	67.345729	99.825862	84.666322	7.150739	122.796129	75.007076	"1"	5.70191517683874	47.789053
"2"	1	54	65.712999	100.212866	84.326056	7.052928	123.166358	75.460513	"1"	5.54131803360194	47.705845
"2"	1	55	65.457836	99.945853	85.256028	7.102942	123.133824	74.966469	"1"	5.58067509883541	48.167355
"2"	1	56	64.779241	100.298935	85.847947	7.123368	123.711939	75.14104	"1"	5.56116484806823	48.570899
"2"	1	57	65.375204	100.040182	85.470926	7.132146	123.302065	74.990045	"1"	5.5876792233189	48.31202
"2"	1	58	67.116795	100.329648	84.85998	7.180565	123.404689	75.45199	"1"	5.6955298813641	47.952699
"2"	1	59	64.796992	99.878455	85.814613	7.113076	123.264004	74.737466	"1"	5.5605287920441	48.526538
"2"	1	60	65.680949	99.70173	86.428836	7.215419	123.209245	74.411078	"1"	5.67672796944536	48.798167
"2"	1	61	65.882535	99.947405	86.752504	7.24973	123.535793	74.568373	"1"	5.71547488111764	48.96742
"2"	1	62	64.517102	100.0095	86.139995	7.138169	123.496814	74.776233	"1"	5.55750284369449	48.720581
"2"	1	63	65.827103	100.015024	86.25868	7.19728	123.464943	74.771154	"1"	5.67815901300404	48.693789
"2"	1	64	65.679841	99.757927	86.342863	7.182426	123.238898	74.496273	"1"	5.67098551332478	48.742625
"2"	1	65	65.394653	99.888314	87.061877	7.257914	123.573742	74.436403	"1"	5.69338123594368	49.137339
"2"	1	66	66.593941	100.309012	84.193766	7.093695	123.197927	75.611076	"1"	5.60679468557181	47.586851
"2"	1	67	64.796221	100.55273	85.7613	7.147392	123.946419	75.407011	"1"	5.5570081480473	48.539408
"2"	1	68	65.414927	100.254937	86.359706	7.195819	123.782577	74.966983	"1"	5.64921386373146	48.815594
"2"	1	69	64.925387	100.169377	86.504191	7.186634	123.732697	74.843392	"1"	5.61631807779692	48.889305
"2"	1	70	64.617798	99.778485	85.825406	7.115074	123.175961	74.628677	"1"	5.54584874817599	48.547284
"2"	1	71	65.779148	99.810481	85.286978	7.121939	123.022107	74.814921	"1"	5.61010474833475	48.207186
"2"	1	72	66.404446	99.613009	86.553822	7.261008	123.11748	74.305471	"1"	5.74755859909261	48.812009
"2"	1	73	66.93162	100.065788	85.265414	7.192623	123.220542	75.091452	"1"	5.70695228899068	48.12909
"2"	1	74	65.60168	100.29766	85.648739	7.173534	123.634301	75.210456	"1"	5.61870116828152	48.423845
